latitud,longitud
22.783994,-102.615829
22.783994,-102.615829
22.783994,-102.615821
22.783994,-102.615821
22.783994,-102.615821
22.783987,-102.615821
22.783967,-102.615814
22.783960,-102.615814
22.783941,-102.615814
22.783933,-102.615814
22.783916,-102.615806
22.783908,-102.615806
22.783891,-102.615806
22.783884,-102.615798
22.783864,-102.615798
22.783855,-102.615791
22.783836,-102.615791
22.783828,-102.615791
22.783807,-102.615783
22.783798,-102.615783
22.783779,-102.615783
22.783769,-102.615783
22.783750,-102.615776
22.783740,-102.615776
22.783721,-102.615768
22.783710,-102.615768
22.783689,-102.615760
22.783678,-102.615760
22.783658,-102.615760
22.783651,-102.615760
22.783634,-102.615768
22.783624,-102.615768
22.783607,-102.615760
22.783607,-102.615760
22.783603,-102.615760
22.783597,-102.615753
22.783586,-102.615737
22.783582,-102.615730
22.783575,-102.615715
22.783573,-102.615707
22.783571,-102.615692
22.783567,-102.615684
22.783567,-102.615661
22.783565,-102.615653
22.783563,-102.615631
22.783561,-102.615623
22.783561,-102.615608
22.783559,-102.615600
22.783557,-102.615577
22.783557,-102.615570
22.783552,-102.615562
22.783546,-102.615554
22.783531,-102.615554
22.783523,-102.615562
22.783515,-102.615570
22.783515,-102.615570
22.783514,-102.615577
22.783514,-102.615577
22.783506,-102.615585
22.783502,-102.615592
22.783491,-102.615600
22.783483,-102.615608
22.783468,-102.615631
22.783462,-102.615646
22.783462,-102.615638
22.783462,-102.615638
22.783454,-102.615653
22.783454,-102.615653
22.783456,-102.615669
22.783456,-102.615669
22.783452,-102.615684
22.783452,-102.615692
22.783451,-102.615715
22.783451,-102.615730
22.783443,-102.615753
22.783441,-102.615760
22.783437,-102.615768
22.783433,-102.615768
22.783430,-102.615776
22.783428,-102.615776
22.783424,-102.615783
22.783422,-102.615783
22.783420,-102.615783
22.783418,-102.615783
22.783418,-102.615791
22.783420,-102.615791
22.783420,-102.615791
22.783422,-102.615791
22.783422,-102.615791
22.783424,-102.615791
22.783426,-102.615791
22.783426,-102.615791
22.783428,-102.615791
22.783428,-102.615791
22.783428,-102.615791
22.783428,-102.615791
22.783428,-102.615791
22.783430,-102.615791
22.783430,-102.615791
22.783430,-102.615791
22.783422,-102.615791
22.783414,-102.615791
22.783395,-102.615791
22.783386,-102.615783
22.783370,-102.615776
22.783361,-102.615768
22.783349,-102.615753
22.783344,-102.615753
22.783334,-102.615737
22.783330,-102.615737
22.783321,-102.615730
22.783317,-102.615730
22.783302,-102.615715
22.783296,-102.615715
22.783287,-102.615715
22.783281,-102.615715
22.783281,-102.615707
22.783281,-102.615707
22.783267,-102.615707
22.783260,-102.615707
22.783256,-102.615715
