Tiempo(s),T_BMP(C),T_LM35(C)
0.01,24.00,28.84
2.01,25.00,30.30
4.02,25.90,30.79
6.03,26.70,31.28
8.04,27.60,31.77
10.04,28.30,33.24
12.05,29.00,33.24
14.06,29.60,34.21
16.06,30.20,34.21
18.07,30.90,35.68
20.08,31.60,36.17
22.09,32.40,36.17
24.09,33.20,37.15
26.10,34.10,37.63
28.11,34.80,37.63
30.12,35.40,37.63
32.12,35.70,38.61
34.13,36.00,38.12
36.14,36.70,39.10
38.15,37.60,40.08
40.15,38.20,40.57
42.16,38.50,40.08
44.17,38.70,41.06
46.18,39.20,41.06
48.18,40.00,42.03
50.19,40.70,42.52
52.20,40.90,42.52
54.21,40.90,43.01
56.21,41.90,43.50
58.22,42.60,43.99
60.23,43.00,43.99
62.23,43.00,44.48
64.24,43.30,44.48
66.25,43.90,44.97
68.26,44.60,44.97
70.26,45.20,44.97
72.27,45.60,46.43
74.28,46.00,45.45
76.29,46.10,45.94
78.29,46.30,47.41
80.30,46.60,46.92
82.31,47.00,47.90
84.31,47.40,47.41
86.32,47.70,48.39
88.33,48.10,48.39
90.34,48.50,48.39
92.34,48.80,49.36
94.35,49.20,49.85
96.36,49.50,49.85
98.37,49.90,49.85
100.37,50.30,50.34
102.38,50.60,50.83
104.39,51.00,50.83
106.40,51.30,50.83
108.40,51.70,51.81
110.41,52.10,51.81
112.42,52.40,52.30
114.43,52.70,52.30
116.43,53.00,52.79
118.44,53.40,52.30
120.45,53.70,52.79
122.46,54.00,53.27
124.46,54.20,53.76
126.47,54.50,53.27
128.48,54.70,54.25
130.49,55.00,54.25
132.49,55.20,54.25
134.50,55.50,54.74
136.51,55.80,54.74
138.51,56.00,55.23
140.52,56.30,54.74
142.53,56.60,55.72
144.54,56.90,55.72
146.54,57.20,56.21
148.55,57.40,56.70
150.56,57.60,56.70
152.57,57.90,57.18
154.57,58.40,57.67
156.58,58.80,57.18
158.59,59.30,57.18
160.60,59.50,57.67
162.60,59.50,58.16
164.61,59.50,58.16
166.62,59.70,58.65
168.63,60.10,58.65
170.63,60.60,59.14
172.64,61.10,59.14
174.65,61.30,59.63
176.66,61.20,59.63
178.66,61.20,60.12
180.67,61.40,60.12
182.68,61.70,60.12
184.68,62.10,60.61
186.69,62.40,61.09
188.70,62.60,61.09
190.71,62.90,61.58
192.71,63.10,61.58
194.72,63.40,62.07
196.73,63.70,62.07
198.74,64.10,62.07
200.74,64.40,62.07
202.75,64.60,62.07
204.76,64.60,62.56
206.77,64.70,62.56
208.77,64.80,63.05
210.78,64.90,63.54
212.79,65.30,63.05
214.80,65.70,64.03
216.80,66.00,64.03
218.81,66.30,64.03
220.82,66.50,64.52
222.83,66.50,64.03
224.83,66.50,64.52
226.84,66.50,64.52
228.85,66.70,65.00
230.85,67.00,64.52
232.86,67.40,65.49
234.87,67.80,65.00
236.88,68.10,65.98
238.88,68.20,65.98
240.89,68.20,65.98
242.90,68.20,65.98
244.91,68.30,66.47
246.91,68.40,66.47
248.92,68.60,66.47
250.93,69.00,66.47
252.94,69.40,66.96
254.94,69.70,67.45
256.95,69.80,67.45
258.96,69.70,67.45
260.97,69.70,67.94
262.97,69.80,67.94
264.98,70.00,67.94
266.99,70.20,68.43
269.00,70.40,68.43
271.00,70.60,68.43
273.01,70.70,68.91
275.02,70.80,68.91
277.02,71.00,68.91
279.03,71.20,68.91
281.04,71.50,68.91
283.05,71.70,69.40
285.05,71.90,69.89
287.06,72.20,69.89
289.07,72.40,70.38
291.08,72.60,70.38
293.08,72.80,69.89
295.09,72.90,70.38
297.10,73.10,70.38
299.11,73.30,69.89
301.11,73.60,70.87
303.12,73.70,70.87
305.13,73.90,70.87
307.14,74.00,71.36
309.14,74.10,71.36
311.15,74.10,71.85
313.16,74.10,71.85
315.17,74.20,71.85
317.17,74.30,71.85
319.18,74.40,72.34
321.19,74.50,72.34
323.20,74.70,72.34
325.20,74.90,72.34
327.21,75.10,72.34
329.22,75.30,72.83
331.23,75.40,72.83
333.23,75.70,73.31
335.24,75.90,72.83
337.25,76.00,73.31
339.25,76.20,73.80
341.26,76.40,73.80
343.27,76.60,73.80
345.28,76.80,73.80
347.28,76.80,73.80
349.29,76.90,73.31
351.30,76.80,74.29
353.31,76.90,74.78
355.31,76.90,74.29
357.32,77.20,74.29
359.33,77.60,74.29
361.33,77.90,74.29
363.34,78.00,74.78
365.35,78.10,74.78
367.36,78.10,75.27
369.37,78.10,75.27
371.37,78.00,75.76
373.38,78.20,75.76
375.39,78.30,76.25
377.39,78.60,75.76
379.40,78.90,75.76
381.41,79.20,76.25
383.42,79.40,76.74
385.42,79.40,76.74
387.43,79.40,76.25
389.44,79.30,76.25
391.45,79.40,76.25
393.45,79.50,76.74
395.46,79.60,77.22
397.47,79.70,77.22
399.48,79.80,77.71
401.48,80.00,77.71
403.49,80.10,78.20
405.50,80.30,78.20
407.51,80.50,77.71
409.51,80.60,77.22
411.52,80.70,78.20
413.53,80.90,78.20
415.54,81.00,78.20
417.54,81.20,78.20
419.55,81.20,78.69
421.56,81.30,78.69
423.57,81.30,78.69
425.57,81.40,79.18
427.58,81.50,78.69
429.59,81.70,78.69
431.60,82.10,79.18
433.60,82.30,78.69
435.61,82.50,79.18
437.62,82.60,79.18
439.62,82.70,79.67
441.63,82.90,79.67
443.64,83.10,79.67
445.65,83.20,79.67
447.65,83.30,80.16
449.66,83.40,80.16
451.67,83.50,80.65
453.68,83.50,80.65
455.68,83.50,80.16
457.69,83.40,80.65
459.70,83.50,81.13
461.71,83.60,80.65
463.71,83.70,81.13
465.72,83.80,80.65
467.73,83.90,81.13
469.74,84.20,81.13
471.74,84.40,81.62
473.75,84.50,81.62
475.76,84.70,81.13
477.77,84.80,82.11
479.77,85.00,81.62
481.78,85.20,82.11
483.79,85.40,82.60
485.79,85.50,82.11
487.80,85.60,82.11
489.81,85.60,82.60
491.82,85.60,82.60
493.83,85.40,82.60
495.83,85.40,83.09
497.84,85.60,82.60
499.85,86.00,83.09
501.85,86.30,82.60
503.86,86.40,83.09
505.87,86.40,83.09
507.88,86.30,83.58
509.88,86.30,84.07
511.89,86.30,83.09
513.90,86.40,83.58
515.91,86.50,83.58
517.91,86.60,83.58
519.92,86.70,83.58
521.93,86.80,84.07
523.94,86.80,84.07
525.94,86.90,84.07
527.95,86.90,84.56
529.96,87.10,84.07
531.96,87.50,84.56
533.97,87.90,84.56
535.98,87.90,84.56
537.99,87.70,85.04
540.00,87.50,84.56
542.00,87.90,84.56
544.01,88.40,85.04
546.02,88.30,85.53
548.02,88.00,85.53
550.03,88.10,85.53
552.04,88.40,85.04
554.05,88.80,86.02
556.05,89.00,86.02
558.06,89.00,85.53
560.07,88.80,86.02
562.08,88.60,86.02
564.08,89.00,85.53
566.09,89.40,86.02
568.10,89.50,86.02
570.10,89.20,85.53
572.11,89.10,86.51
574.12,89.30,86.51
576.13,89.80,86.02
578.14,90.00,86.51
580.14,89.70,87.00
582.15,89.50,86.51
584.16,89.90,87.00
586.16,90.30,87.49
588.17,90.50,87.00
590.18,90.20,87.00
592.19,90.00,87.00
594.19,90.30,87.49
596.20,90.70,87.49
598.21,91.00,87.49
600.22,90.80,87.98
602.22,90.50,87.49
604.23,90.50,87.98
606.24,90.80,87.98
608.25,91.20,87.98
610.25,91.40,88.47
612.26,91.30,87.98
614.27,91.00,87.98
616.28,91.00,88.47
618.28,91.20,87.98
620.29,91.60,88.47
622.30,91.90,88.47
624.30,92.00,88.95
626.31,91.90,88.95
628.32,91.70,88.47
630.33,91.70,88.47
632.34,91.90,88.47
634.34,92.30,88.95
636.35,92.60,89.44
638.36,92.50,89.44
640.36,92.30,89.44
642.37,92.20,88.95
644.38,92.30,89.44
646.39,92.50,88.95
648.39,92.80,89.93
650.40,93.40,89.93
652.41,93.20,88.95
654.42,93.20,89.93
656.42,93.10,89.93
658.43,92.80,89.93
660.44,92.90,89.93
662.45,93.00,89.93
664.45,93.20,89.93
666.46,93.40,89.93
668.47,93.60,90.42
670.48,93.90,89.93
672.48,94.10,90.42
674.49,94.20,90.42
676.50,94.30,89.93
678.51,94.40,90.91
680.51,94.50,90.42
682.52,94.60,90.42
684.53,94.70,90.91
686.53,94.80,90.42
688.54,94.90,90.42
690.55,94.90,90.42
692.56,95.10,90.91
694.56,95.20,90.42
696.57,95.30,90.91
698.58,95.40,91.40
700.59,95.40,91.40
702.59,95.50,90.91
704.60,95.60,90.91
706.61,95.60,91.40
708.62,95.60,91.40
710.62,95.70,90.91
712.63,95.80,91.40
714.64,95.90,91.40
716.65,96.10,91.89
718.65,96.10,91.89
720.66,96.10,91.89
722.67,96.00,92.38
724.67,96.00,92.86
726.68,95.90,92.38
728.69,95.90,92.38
730.70,95.90,92.38
732.71,96.00,92.38
734.71,96.10,92.38
736.72,96.20,92.86
738.73,96.30,92.38
740.73,96.50,92.86
742.74,96.70,92.86
744.75,97.00,92.86
746.76,97.20,92.86
748.76,97.20,92.86
750.77,97.00,92.38
752.78,96.90,92.38
754.79,96.90,92.86
756.79,97.00,92.38
758.80,97.00,92.86
760.81,97.10,93.35
762.82,97.20,93.35
764.82,97.20,93.35
766.83,97.30,93.35
768.84,97.40,93.35
770.84,97.60,93.35
772.85,97.80,93.35
774.86,98.00,93.84
776.87,98.20,93.84
778.88,98.40,93.35
780.88,98.50,93.84
782.89,98.60,93.84
784.90,98.60,93.84
786.91,98.70,93.84
788.91,98.80,93.84
790.92,98.80,94.33
792.93,98.80,93.84
794.94,98.80,93.84
796.94,98.80,93.84
798.95,98.80,93.84
800.96,98.80,94.33
802.96,98.80,94.82
804.97,98.70,94.33
806.98,98.70,94.33
808.99,98.70,94.33
810.99,98.80,94.33
813.00,98.90,94.33
815.01,99.00,94.82
817.02,99.00,94.33
819.02,99.00,94.33
821.03,99.10,94.82
823.04,99.10,94.33
825.05,99.20,95.31
827.05,99.30,94.33
829.06,99.50,94.33
831.07,99.70,94.82
833.08,99.80,94.82
835.08,99.90,94.82
837.09,99.90,94.82
839.10,99.80,94.82
841.10,99.70,94.82
843.11,99.70,95.31
845.12,99.80,94.82
847.13,100.10,94.82
849.13,100.20,95.31
851.14,100.40,94.82
853.15,100.50,94.82
855.16,100.60,94.82
857.16,100.70,95.80
859.17,100.80,95.80
861.18,100.90,95.31
863.19,100.90,95.80
865.19,100.60,95.80
867.20,100.50,95.31
869.21,100.60,95.80
871.22,100.80,95.80
873.22,100.80,95.80
875.23,100.80,95.31
877.24,100.80,95.80
879.25,100.80,95.80
881.25,100.90,95.80
883.26,101.00,95.80
885.27,101.20,96.29
887.28,101.50,95.80
889.28,101.60,95.80
891.29,101.50,95.80
893.30,101.30,95.80
895.30,101.10,95.80
897.31,101.30,95.80
899.32,101.60,95.80
901.33,101.80,96.29
903.34,101.80,95.80
905.34,101.70,96.29
907.35,101.60,95.80
909.36,101.60,96.29
911.37,101.60,96.29
913.37,101.90,96.29
915.38,101.90,95.80
917.39,102.00,96.29
919.40,102.00,96.77
921.40,102.00,96.77
923.41,102.00,96.29
925.42,102.00,96.77
927.42,102.00,96.77
929.43,101.90,96.29
931.44,101.90,96.29
933.45,101.90,96.29
935.45,101.90,96.29
937.46,102.00,96.29
939.47,102.00,96.77
941.48,102.00,96.77
943.48,101.70,96.29
945.49,101.70,96.77
947.50,101.80,96.29
949.51,101.90,96.29
951.52,101.90,96.77
953.52,102.00,97.26
955.53,102.20,97.26
957.54,102.40,97.26
959.54,102.70,97.26
961.55,102.90,97.26
963.56,102.90,97.26
965.57,102.80,97.26
967.57,102.60,97.26
969.58,102.50,97.26
971.59,102.50,97.75
973.60,102.60,97.26
975.60,102.80,97.26
977.61,103.00,96.77
979.62,103.20,97.75
981.63,103.30,97.75
983.63,103.40,97.26
985.64,103.40,97.75
987.65,103.60,97.75
989.66,103.60,97.75
991.66,103.60,97.75
993.67,103.60,97.75
995.68,103.50,97.75
997.69,103.40,97.75
999.69,103.30,98.24
1001.70,103.30,98.73
1003.71,103.40,98.24
1005.72,103.70,98.24
1007.72,104.00,98.73
1009.73,104.20,98.24
1011.74,104.30,98.24
1013.75,104.20,98.73
1015.75,104.00,98.24
1017.76,103.80,98.73
1019.77,103.70,98.73
1021.78,103.80,98.73
1023.78,103.90,98.73
1025.79,104.00,98.73
1027.80,104.10,98.73
1029.81,104.20,98.24
1031.81,104.40,98.73
1033.82,104.60,98.73
1035.83,104.70,98.24
1037.84,104.80,99.22
1039.84,104.80,99.22
1041.85,104.80,99.22
1043.86,104.90,99.22
1045.86,104.80,99.22
1047.87,104.80,98.73
1049.88,104.80,99.71
1051.89,104.70,99.71
1053.90,104.70,98.73
1055.90,104.70,98.73
1057.91,104.70,99.22
1059.92,104.80,99.22
1061.93,104.90,98.73
1063.93,104.80,98.73
1065.94,104.90,99.22
1067.95,104.90,99.22
1069.96,104.80,99.71
1071.96,104.70,99.22
1073.97,104.60,99.71
1075.98,104.70,99.22
1077.99,104.70,99.71
1079.99,104.70,99.22
1082.00,104.80,99.22
1084.01,105.00,99.71
1086.02,105.20,99.22
1088.02,105.30,99.71
1090.03,105.20,99.22
1092.04,105.20,99.71
1094.05,105.20,100.20
1096.05,105.20,99.71
1098.06,105.20,100.20
1100.07,105.20,100.20
1102.07,105.30,99.71
1104.08,105.50,100.20
1106.09,105.80,100.20
1108.10,106.00,99.71
1110.11,106.00,100.20
1112.11,105.80,100.20
1114.12,105.50,99.71
1116.13,105.40,99.71
1118.14,105.60,100.20
1120.14,105.90,100.20
1122.15,106.30,100.20
1124.16,106.20,100.20
1126.17,105.70,100.20
1128.17,105.60,100.20
1130.18,106.00,100.20
1132.19,106.30,99.71
1134.20,106.40,100.20
1136.20,106.30,100.20
1138.21,106.00,100.20
1140.22,106.00,100.20
1142.23,106.20,100.68
1144.23,106.50,100.20
1146.24,106.70,100.68
1148.25,106.70,100.68
1150.26,106.50,100.20
1152.26,106.20,100.68
1154.27,106.20,100.20
1156.28,106.50,100.20
1158.29,106.80,100.68
1160.29,106.90,100.68
1162.30,106.90,100.68
1164.31,106.70,100.68
1166.32,106.50,100.68
1168.32,106.50,101.17
