--- ARDUINO 1: SENSOR AHT20 ---
Sensor AHT20 inicializado correctamente.
Tiempo(ms),Humedad_AHT20(%),Temp_AHT20(C)
1000,32.97,25.36
2000,33.11,25.38
3000,33.21,25.39
4000,33.28,25.38
5000,33.33,25.39
6000,33.35,25.38
7000,33.34,25.39
8000,33.34,25.37
9000,33.33,25.40
10000,33.29,25.39
11000,33.29,25.38
12000,33.26,25.38
13000,33.29,25.40
14000,33.23,25.42
15000,33.20,25.47
16000,33.19,25.51
17000,33.14,25.55
18000,33.14,25.60
19000,33.14,25.61
20000,33.19,25.66
21000,33.22,25.71
22000,33.33,25.75
23000,33.35,25.79
24000,33.38,25.83
25000,33.48,25.86
26000,33.47,25.90
27000,33.51,25.96
28000,33.58,25.98
29000,33.56,26.03
30000,33.63,26.06
31000,33.65,26.12
32000,33.62,26.15
33000,33.66,26.19
34000,33.65,26.22
35000,33.67,26.25
36000,33.66,26.30
37000,33.64,26.37
38000,33.72,26.42
39000,33.74,26.47
40000,33.72,26.51
41000,33.74,26.58
42000,33.74,26.64
43000,33.71,26.70
44000,33.72,26.77
45000,33.75,26.82
46000,33.74,26.90
47000,33.75,26.96
48000,33.79,27.03
49000,33.80,27.10
50000,33.78,27.17
51000,33.80,27.23
52000,33.81,27.31
53000,33.78,27.37
54000,33.77,27.44
55000,33.81,27.51
56000,33.78,27.61
57000,33.77,27.71
58000,33.77,27.82
59000,33.76,27.93
60000,33.73,28.02
61000,33.64,28.10
62000,33.63,28.22
63000,33.61,28.33
64000,33.54,28.44
65000,33.54,28.55
66000,33.44,28.65
67000,33.33,28.77
68000,33.25,28.88
69000,33.11,28.95
70000,33.11,29.02
71000,32.96,29.04
72000,32.91,29.16
73000,32.88,29.26
74000,32.83,29.38
75000,32.73,29.48
76000,32.67,29.62
77000,32.58,29.72
78000,32.51,29.82
79000,32.38,29.95
80000,32.29,30.08
81000,32.19,30.20
82000,32.06,30.32
83000,31.93,30.45
84000,31.82,30.56
85000,31.67,30.66
86000,31.57,30.78
87000,31.47,30.89
88000,31.34,31.02
89000,31.23,31.13
90000,31.07,31.27
91000,30.92,31.38
92000,30.85,31.48
93000,30.72,31.61
94000,30.56,31.71
95000,30.50,31.85
96000,30.32,31.99
97000,30.23,32.12
98000,30.08,32.23
99000,29.93,32.34
100000,29.83,32.48
101000,29.71,32.61
102000,29.58,32.75
103000,29.50,32.87
104000,29.34,32.97
105000,29.18,33.01
106000,29.05,33.07
107000,28.93,33.13
108000,28.78,33.21
109000,28.67,33.27
110000,28.53,33.35
111000,28.43,33.44
112000,28.29,33.49
113000,28.16,33.59
114000,28.03,33.60
115000,27.85,33.63
116000,27.70,33.67
117000,27.66,33.66
118000,27.49,33.75
119000,27.44,33.93
120000,27.37,34.06
121000,27.20,34.20
122000,27.14,34.31
123000,26.99,34.36
124000,26.86,34.34
125000,26.75,34.37
126000,26.60,34.52
127000,26.53,34.60
128000,26.42,34.64
129000,26.33,34.72
130000,26.25,34.84
131000,26.11,35.01
132000,25.98,35.16
133000,25.89,35.27
134000,25.73,35.39
135000,25.60,35.52
136000,25.44,35.68
137000,25.28,35.80
138000,25.17,35.94
139000,25.01,36.04
140000,24.82,36.16
141000,24.68,36.26
142000,24.50,36.32
143000,24.35,36.44
144000,24.20,36.51
145000,23.99,36.52
146000,23.84,36.53
147000,23.66,36.54
148000,23.51,36.58
149000,23.45,36.62
150000,23.32,36.66
151000,23.20,36.78
152000,23.13,36.92
153000,23.00,37.01
154000,22.90,37.06
155000,22.81,37.17
156000,22.72,37.32
157000,22.62,37.44
158000,22.46,37.55
159000,22.39,37.69
160000,22.28,37.81
161000,22.18,37.92
162000,22.09,38.03
163000,21.96,38.16
164000,21.88,38.24
165000,21.79,38.32
166000,21.70,38.39
167000,21.60,38.46
168000,21.49,38.54
169000,21.45,38.63
170000,21.37,38.73
171000,21.28,38.82
172000,21.26,38.92
173000,21.17,39.04
174000,21.10,39.17
175000,21.05,39.30
176000,20.97,39.42
177000,20.91,39.50
178000,20.78,39.63
179000,20.73,39.76
180000,20.64,39.93
181000,20.55,40.05
182000,20.45,40.17
183000,20.36,40.33
184000,20.24,40.48
185000,20.15,40.64
186000,20.05,40.75
187000,19.89,40.85
188000,19.81,40.97
189000,19.69,41.11
190000,19.58,41.23
191000,19.46,41.40
192000,19.34,41.50
193000,19.27,41.59
194000,19.15,41.69
195000,19.02,41.84
