--- ARDUINO 2: SENSOR BMP180 ---
Sensor BMP180 inicializado correctamente.
Tiempo(ms),Temp_BMP180(C)
1000,25.40
2000,25.40
3000,25.40
4000,25.40
5000,25.40
6000,25.40
7000,25.40
8000,25.40
9000,25.40
10000,25.40
11000,25.40
12000,25.40
13000,25.40
14000,25.40
15000,25.40
16000,25.40
17000,25.50
18000,25.50
19000,25.50
20000,25.50
21000,25.60
22000,25.60
23000,25.60
24000,25.70
25000,25.70
26000,25.80
27000,25.80
28000,25.80
29000,25.90
30000,25.90
31000,26.00
32000,26.00
33000,26.00
34000,26.00
35000,26.00
36000,26.00
37000,26.10
38000,26.10
39000,26.20
40000,26.20
41000,26.20
42000,26.30
43000,26.30
44000,26.40
45000,26.40
46000,26.40
47000,26.50
48000,26.50
49000,26.50
50000,26.60
51000,26.60
52000,26.70
53000,26.70
54000,26.80
55000,26.80
56000,26.90
57000,26.90
58000,27.00
59000,27.00
60000,27.10
61000,27.10
62000,27.20
63000,27.20
64000,27.30
65000,27.40
66000,27.40
67000,27.50
68000,27.50
69000,27.60
70000,27.70
71000,27.80
72000,27.80
73000,27.90
74000,28.00
75000,28.00
76000,28.10
77000,28.10
78000,28.20
79000,28.20
80000,28.30
81000,28.40
82000,28.40
83000,28.50
84000,28.50
85000,28.60
86000,28.60
87000,28.70
88000,28.80
89000,28.80
90000,28.90
91000,29.00
92000,29.10
93000,29.20
94000,29.20
95000,29.30
96000,29.30
97000,29.40
98000,29.50
99000,29.60
100000,29.60
101000,29.70
102000,29.80
103000,29.90
104000,29.90
105000,30.00
106000,30.10
107000,30.20
108000,30.30
109000,30.30
110000,30.40
111000,30.50
112000,30.60
113000,30.60
114000,30.70
115000,30.80
116000,30.90
117000,31.00
118000,31.00
119000,31.10
120000,31.10
121000,31.20
122000,31.30
123000,31.40
124000,31.40
125000,31.50
126000,31.60
127000,31.70
128000,31.80
129000,31.80
130000,31.90
131000,32.00
132000,32.00
133000,32.10
134000,32.20
135000,32.30
136000,32.30
137000,32.40
138000,32.50
139000,32.70
140000,32.70
141000,32.80
142000,32.90
143000,33.00
144000,33.00
145000,33.10
146000,33.20
147000,33.30
148000,33.40
149000,33.40
150000,33.40
151000,33.50
152000,33.70
153000,33.80
154000,33.80
155000,34.00
156000,34.10
157000,34.20
158000,34.30
159000,34.40
160000,34.50
161000,34.60
162000,34.70
163000,34.80
164000,34.90
165000,34.90
166000,35.00
167000,35.10
168000,35.20
169000,35.30
170000,35.40
171000,35.50
172000,35.60
173000,35.70
174000,35.70
175000,35.80
176000,35.90
177000,36.00
178000,36.10
179000,36.20
180000,36.30
181000,36.40
182000,36.50
183000,36.60
184000,36.70
185000,36.70
186000,36.80
187000,36.90
188000,37.00
189000,37.10
190000,37.20
191000,37.30
192000,37.40
193000,37.40
194000,37.50
195000,37.60
196000,37.70
197000,37.80
198000,37.90
199000,38.00
200000,38.10
201000,38.20
202000,38.30
203000,38.40
204000,38.50
205000,38.50
206000,38.60
207000,38.70
208000,38.80
209000,38.90
210000,39.00
211000,39.10
212000,39.20
213000,39.20
214000,39.30
215000,39.40
216000,39.50
217000,39.60
218000,39.70
219000,39.70
220000,39.80
221000,39.90
222000,40.00
223000,40.10
224000,40.20
225000,40.20
226000,40.30
227000,40.50
228000,40.50
229000,40.50
230000,40.70
231000,40.80
232000,40.90
233000,40.90
234000,41.00
235000,41.10
236000,41.20
237000,41.20
238000,41.30
239000,41.40
240000,41.50
241000,41.50
242000,41.60
243000,41.60
244000,41.70
245000,41.80
246000,41.90
247000,42.00
248000,42.00
249000,42.10
250000,42.20
251000,42.30
252000,42.30
253000,42.40
254000,42.50
255000,42.50
256000,42.60
257000,42.70
258000,42.80
259000,42.80
260000,42.80
261000,43.00
262000,43.00
263000,43.10
264000,43.20
265000,43.30
266000,43.30
267000,43.30
268000,43.40
269000,43.50
270000,43.60
271000,43.60
272000,43.80
273000,43.80
274000,43.90
275000,44.00
276000,44.00
277000,44.00
278000,44.10
279000,44.20
280000,44.30
281000,44.40
282000,44.40
283000,44.50
284000,44.60
285000,44.70
286000,44.70
287000,44.80
288000,44.90
289000,45.00
290000,45.00
291000,45.10
292000,45.20
293000,45.30
294000,45.30
295000,45.40
296000,45.50
297000,45.50
298000,45.60
299000,45.70
300000,45.80
301000,45.80
302000,45.90
303000,46.00
304000,46.00
305000,46.10
306000,46.20
307000,46.30
308000,46.30
309000,46.40
310000,46.40
311000,46.40
312000,46.60
313000,46.60
314000,46.60
315000,46.60
316000,46.60
317000,46.70
318000,46.80
319000,46.90
320000,46.90
321000,47.00
322000,47.10
323000,47.20
324000,47.20
325000,47.30
326000,47.40
327000,47.40
328000,47.50
329000,47.60
330000,47.60
