Frecuencia: 0.0 Hz  |  Caudal: 0.00 L/min
Frecuencia: 0.0 Hz  |  Caudal: 0.00 L/min
Frecuencia: 0.0 Hz  |  Caudal: 0.00 L/min
Frecuencia: 0.0 Hz  |  Caudal: 0.00 L/min
Frecuencia: 0.0 Hz  |  Caudal: 0.00 L/min
Frecuencia: 0.0 Hz  |  Caudal: 0.00 L/min
Frecuencia: 0.0 Hz  |  Caudal: 0.00 L/min
Frecuencia: 0.0 Hz  |  Caudal: 0.00 L/min
Frecuencia: 0.0 Hz  |  Caudal: 0.00 L/min
Frecuencia: 0.0 Hz  |  Caudal: 0.00 L/min
Frecuencia: 0.0 Hz  |  Caudal: 0.00 L/min
Frecuencia: 0.0 Hz  |  Caudal: 0.00 L/min
Frecuencia: 0.0 Hz  |  Caudal: 0.00 L/min
Frecuencia: 0.0 Hz  |  Caudal: 0.00 L/min
Frecuencia: 0.0 Hz  |  Caudal: 0.00 L/min
Frecuencia: 1.0 Hz  |  Caudal: 0.13 L/min
Frecuencia: 3.0 Hz  |  Caudal: 0.39 L/min
Frecuencia: 1.0 Hz  |  Caudal: 0.13 L/min
Frecuencia: 2.0 Hz  |  Caudal: 0.26 L/min
Frecuencia: 2.0 Hz  |  Caudal: 0.26 L/min
Frecuencia: 4.0 Hz  |  Caudal: 0.52 L/min
Frecuencia: 1.0 Hz  |  Caudal: 0.13 L/min
Frecuencia: 6.0 Hz  |  Caudal: 0.78 L/min
Frecuencia: 7.0 Hz  |  Caudal: 0.91 L/min
Frecuencia: 7.0 Hz  |  Caudal: 0.91 L/min
Frecuencia: 10.0 Hz  |  Caudal: 1.30 L/min
Frecuencia: 11.0 Hz  |  Caudal: 1.42 L/min
Frecuencia: 11.0 Hz  |  Caudal: 1.42 L/min
Frecuencia: 13.0 Hz  |  Caudal: 1.68 L/min
Frecuencia: 11.0 Hz  |  Caudal: 1.42 L/min
Frecuencia: 13.0 Hz  |  Caudal: 1.68 L/min
Frecuencia: 14.0 Hz  |  Caudal: 1.81 L/min
Frecuencia: 15.0 Hz  |  Caudal: 1.94 L/min
Frecuencia: 14.0 Hz  |  Caudal: 1.81 L/min
Frecuencia: 15.0 Hz  |  Caudal: 1.94 L/min
Frecuencia: 14.0 Hz  |  Caudal: 1.81 L/min
Frecuencia: 15.0 Hz  |  Caudal: 1.94 L/min
Frecuencia: 14.0 Hz  |  Caudal: 1.81 L/min
Frecuencia: 15.0 Hz  |  Caudal: 1.94 L/min
Frecuencia: 14.0 Hz  |  Caudal: 1.81 L/min
Frecuencia: 14.0 Hz  |  Caudal: 1.81 L/min
Frecuencia: 14.0 Hz  |  Caudal: 1.81 L/min
Frecuencia: 14.0 Hz  |  Caudal: 1.81 L/min
Frecuencia: 15.0 Hz  |  Caudal: 1.94 L/min
Frecuencia: 15.0 Hz  |  Caudal: 1.94 L/min
Frecuencia: 15.0 Hz  |  Caudal: 1.94 L/min
Frecuencia: 16.0 Hz  |  Caudal: 2.07 L/min
Frecuencia: 16.0 Hz  |  Caudal: 2.07 L/min
Frecuencia: 17.0 Hz  |  Caudal: 2.20 L/min
Frecuencia: 16.0 Hz  |  Caudal: 2.07 L/min
Frecuencia: 17.0 Hz  |  Caudal: 2.20 L/min
Frecuencia: 17.0 Hz  |  Caudal: 2.20 L/min
Frecuencia: 18.0 Hz  |  Caudal: 2.33 L/min
Frecuencia: 17.0 Hz  |  Caudal: 2.20 L/min
Frecuencia: 18.0 Hz  |  Caudal: 2.33 L/min
Frecuencia: 18.0 Hz  |  Caudal: 2.33 L/min
Frecuencia: 20.0 Hz  |  Caudal: 2.59 L/min
Frecuencia: 22.0 Hz  |  Caudal: 2.85 L/min
Frecuencia: 23.0 Hz  |  Caudal: 2.98 L/min
Frecuencia: 22.0 Hz  |  Caudal: 2.85 L/min
Frecuencia: 23.0 Hz  |  Caudal: 2.98 L/min
Frecuencia: 24.0 Hz  |  Caudal: 3.11 L/min
Frecuencia: 23.0 Hz  |  Caudal: 2.98 L/min
Frecuencia: 23.0 Hz  |  Caudal: 2.98 L/min
Frecuencia: 23.0 Hz  |  Caudal: 2.98 L/min
Frecuencia: 23.0 Hz  |  Caudal: 2.98 L/min
Frecuencia: 24.0 Hz  |  Caudal: 3.11 L/min
Frecuencia: 22.0 Hz  |  Caudal: 2.85 L/min
Frecuencia: 24.0 Hz  |  Caudal: 3.11 L/min
Frecuencia: 23.0 Hz  |  Caudal: 2.98 L/min
Frecuencia: 23.0 Hz  |  Caudal: 2.98 L/min
Frecuencia: 22.0 Hz  |  Caudal: 2.85 L/min
Frecuencia: 22.0 Hz  |  Caudal: 2.85 L/min
Frecuencia: 21.0 Hz  |  Caudal: 2.72 L/min
Frecuencia: 20.0 Hz  |  Caudal: 2.59 L/min
Frecuencia: 19.0 Hz  |  Caudal: 2.46 L/min
Frecuencia: 21.0 Hz  |  Caudal: 2.72 L/min
Frecuencia: 20.0 Hz  |  Caudal: 2.59 L/min
Frecuencia: 19.0 Hz  |  Caudal: 2.46 L/min
Frecuencia: 19.0 Hz  |  Caudal: 2.46 L/min
Frecuencia: 19.0 Hz  |  Caudal: 2.46 L/min
Frecuencia: 17.0 Hz  |  Caudal: 2.20 L/min
Frecuencia: 18.0 Hz  |  Caudal: 2.33 L/min
Frecuencia: 19.0 Hz  |  Caudal: 2.46 L/min
Frecuencia: 18.0 Hz  |  Caudal: 2.33 L/min
Frecuencia: 18.0 Hz  |  Caudal: 2.33 L/min
Frecuencia: 18.0 Hz  |  Caudal: 2.33 L/min
Frecuencia: 18.0 Hz  |  Caudal: 2.33 L/min
Frecuencia: 18.0 Hz  |  Caudal: 2.33 L/min
Frecuencia: 17.0 Hz  |  Caudal: 2.20 L/min
